iterations       power from maximum power to 0            a            b            c            x        error         time
143.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017106
143.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017110
144.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017121
144.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017125
145.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017135
145.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017139
146.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017151
146.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017154
147.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017165
147.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017168
148.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017179
148.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017183
149.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.017193
149.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.017197
